	Unnamed: 0	author	poem
0	0	Computer	"Я как все проходит
Без тебя на свете
Этот день так долог
И опять приходит
Ко мне теплый ветер
И микробиолог"
1	1	Computer	К сабжу ниже.
2	2	Computer	"Прошу прощения за долгое отсутствие, я был занят очень важным делом.
 
Мне очень хотелось обучать генератор на произвольных текстах, а для этого нужна была хорошая морфология, созданием которой я и занялся. 

Так получилось, что для обучения генератора мы использовали выборку, размеченную корпоративной системой, которую ну никак нельзя выкладывать. Но по ней есть статья, написанная, собственно, Даней Анастасьевым (http://www.dialog-21.ru/media/3895/anastasyevdgetal.pdf). 

Я перенёс всю архитекутуру системы (не без помощи Дани), но использовал в качестве базовой морфологии (до разрешения омонимии) не корпоративную, а pymorphy2. Кроме того, я немножко поменял архитектуру: вместо словных эмбеддингов использовал выход LSTM над символами слова, что дало неплохой прирост. 

Саму получившуюся систему выложил как отдельный модуль: https://github.com/IlyaGusev/rnnmorph. 

Бенчмарки к ней - с дорожки по морфоразметке Диалога-2017. Даню с его корпоративной морфологией мне обойти не удалось, но всех остальных - с большим отрывом. С лемматизацией особо не запаривался, для соответствия бенчмаркам сделал несколько эвристик. Ну и иногда pymorphy2 выдаёт не все варианты. Собственно в ближайшем времени начну эксперименты с подбором обучающей выборки для генератора :)"
3	3	Computer	"И а вот если жена
Знаю я на стадии
Он не отвечал она
Далеко и старые"
4	4	Computer	"Настроенных спортсменов
Но а до тех пор главный
Через систему власти
А даже по примеру
Она была где-нибудь
И и жить на что-нибудь"
5	5	Computer	"Не могут разобраться
Культуры а основой
Не может обсуждаться
Однако и немного"
6	6	Computer	"Вспомнить конкуренты
Нет не интересно
А тебе я мало
Говорю как было"
7	7	Computer	"Сейчас депутаты
Могут ошибаться
Интересно фильмы
Да было бы или"
8	8	Computer	"Видел этот ролик месяца 2 назад, вчера кинули в предложку. Как по мне, к подобным вещам надо подходить очень аккуратно. 

Во-первых, идея-то неплохая, но исполнение какое-то очень клишированное, возможно намеренно.
Во-вторых, меня сразу смутило, что сети были якобы написаны на Java и C#. Не сомневаюсь, что это возможно, прекрасно знаю примеры подобного, но это довольно редкое явление, для маленьких команд уж точно.
В-третьих, у меня сразу возникло естественное желание - посмотреть код. И, что удивительно, в описании к ролику он есть! (http://биитва.рф/rapme.tgz) Только там языковая модель на n-граммах, а не на нейросети, как заявлялось изначально. И на JS, да. Сам код, кстати, очень крутой. Определение рифм, например, там на порядок лучше, чем у нас.

Резюмируя: во время просмотра ролика у меня складывалось впечатление, что меня хотят, гм, обмануть. И вроде как так и оказалось. С другой стороны, сама инициатива мне нравится, модель и на n-граммах отработала прекрасно, так что просмотра и внимания точно стоит :)"
9	9	Computer	"Идти на завтра и гремят
Там жаркий дождь а я опять
Все время на весь силуэт
Живу сгораю я поэт
Мы не на новый год пришли
Прошли мы и во снах пошли"
10	10	Computer	"Чрез сто лет всё прошло почти сорок седьмом
Тот город как дождь за окном дождь за окном
Хлеб из глаз и все что от ветки средь равнин
Ничто не сделают сколь не нужны они"
11	11	Computer	"Вот я пребываю
Раз жду я страдаю
Но я там ты близок
И нам вновь и близко
И лишь есть на двадцать
Нашем доме дважды"
12	12	Computer	"Пот и пыль на твоих висках
Ну и пусть на душе горит
Гром и любовь померк запах
Глух и велик но во глазах
Крик но учились мы судить
Про город на своих руках"
13	13	Computer	"Жизнь под руку завтра ты не знаешь
Как и мы через замки лесные
Русский тот мир когда исчезает
Жизнь я жизнь построю как родные"
14	14	Computer	"Так хорошо и не спешишь
Мечтой любовью до души
Среди дождя и желтые
Где то на небе мелкие"
15	15	Computer	"Хочется обиды нет пожалуй
И все чем вид о крови и жалок
Он всем но уж ты не плачь как громко
Ты а здесь я был и каждый столько
Думал и шел мы за богом звали
И весь свет пора тебе не ждали"
16	16	Computer	"Что сияет тихо
Память грязь и тихий
Шум берёз из бочки
Моя чьи то строчки"
17	17	Computer	"Не веришь не плюнь на свет ты через другой
Раз но знай если так тебя я заставлял
Больно встань и стой и вот мне пора бежать
За светлым днем но теперь я дышу тобой
И не сплю я там где та речка и земля
Дождь и снег и снег да луна и лишь звучат"
18	18	Computer	"Жить ну а я знаю что я буду
И свобода принц и мразь ну значит
Казнь и вот так лишь тьма а ты знаешь
Я надеюсь ты иди ты будешь
Мной любимый и жить все мечтают
Всё вдвоем добро не так желают"
19	19	Computer	"Я бы улыбкой говорил люблю конец
Мой мир ты брат мой и ты помнишь как отец
Любил тебя а я влюблюсь сквозь мир родной
За что он просто снег я кровь ну а порой
Мог я и тихо по перу я черная
Всё ну и сколько все часы но черные"
20	20	Computer	"А как бы ночью мне сказать
Как жить и весь день вновь лежать
И звать прочь когда говорят
Да ты почувствуй как летят"
21	21	Computer	"Слышишь но о бедах
Долой чрез победу
Войны как из грустных
Этих песен русских"
22	22	Computer	"Кто вопросы всех на ночь рассвета
Жмет на и молю друзей но сделай
Так чтоб ранили любовь какие
Нас ещё сегодня здесь чужие"
23	23	Computer	"Все за ним ну а перестань
Ярки глаза гореть идут
Сны божье да то глупое
Что оттого что есть весна
И люди плачут и живут
И посидим сквозь глупости"
24	24	Computer	"За что куда я бегу от пота
Нет не верю но так все же знают
Даже ты был добр из жизни потом
Хочешь свет но злой шторм не пугают"
25	25	Computer	"А ты прости но я устал
Напрасно не есть не читал
Но твой дан дом и тут уснуть
Мне нужен лишь страх и цветут"
26	26	Computer	"Но говорить что не мы видим мужиков
Ночи весь твой взгляд да смех на своих ушах
Но есть печаль как поезд на моих руках
Один но зачем мне нужна вам лишь любовь
А все горы и на то как мне трепетно
Жить ну и что во мне мерцают крепкие"
27	27	Computer	"Не держать свое любовь поверить
Знаешь я хочу любить и верить
Буду верить но я ненавижу
Всю душу о бог ну а я вижу
Вас ах как жаль что так ведь любили
И пусть жизни во все годы бились"
